CustomerID,Age,City,SignupDate,CustomerSegment
100001,22.0,Tehran,2023-09-11,Regular
100002,55.0,Tabriz,2024-01-16,VIP
100003,49.0,Karaj,2025-07-31,New
100004,39.0,Tehran,2023-04-23,New
100005,38.0,Tehran,2023-04-29,Regular
100006,59.0,Isfahan,2023-11-27,Regular
100007,22.0,Karaj,2024-10-22,Regular
100008,51.0,Tabriz,2025-06-02,Regular
100009,27.0,Karaj,2024-09-08,Regular
100010,,Mashhad,2024-06-24,New
100011,,Tehran,2025-08-11,Regular
100012,64.0,Shiraz,2023-07-07,Regular
100013,53.0,Tehran,2025-09-14,Regular
100014,54.0,Karaj,2023-12-09,Regular
100015,52.0,Tehran,2023-10-30,New
100016,55.0,Mashhad,2025-11-10,New
100017,,Isfahan,2024-12-08,Regular
100018,24.0,Isfahan,2024-04-17,Regular
100019,58.0,Tabriz,2023-12-28,Regular
100020,39.0,Isfahan,2024-04-28,Regular
100021,42.0,Rasht,2025-05-16,Regular
100022,35.0,Ahvaz,2023-06-17,Regular
100023,26.0,Ahvaz,2023-07-10,New
100024,62.0,Tabriz,2023-11-30,New
100025,55.0,Tabriz,2024-06-12,Regular
100026,48.0,Tabriz,2025-06-11,New
100027,37.0,Isfahan,2023-08-19,New
100028,57.0,Mashhad,2025-05-10,New
100029,44.0,Shiraz,2025-09-20,Regular
100030,39.0,Tehran,2024-04-21,New
100031,39.0,Tehran,2025-11-18,New
100032,28.0,Ahvaz,2025-09-05,Regular
100033,22.0,Tehran,2025-05-22,Regular
100034,44.0,Shiraz,2024-02-21,New
100035,60.0,Tabriz,2023-11-26,Regular
100036,21.0,Tehran,2025-08-04,Regular
100037,59.0,Rasht,2024-04-28,Regular
100038,57.0,Tehran,2023-02-04,Regular
100039,31.0,Ahvaz,2025-02-24,New
100040,48.0,Karaj,2024-01-16,New
100041,25.0,Tehran,2025-10-21,Regular
100042,54.0,Tehran,2025-07-25,New
100043,51.0,Mashhad,2023-04-25,VIP
100044,35.0,Mashhad,2025-09-13,New
100045,21.0,Tehran,2025-11-05,Regular
100046,64.0,Kerman,2025-04-08,Regular
100047,39.0,Tehran,2023-10-29,Regular
100048,60.0,Ahvaz,2025-01-03,New
